Gary Harris$Wraithshade Family$Thomas Morris                                    $6{Jason Phillips,Mark Cooper,Larry Stewart,Timothy Howard,Justin Young,Kevin Cooper,Jeffrey Roberts,Benjamin Carter,Steven Adams,Daniel Miller,David Morris,Justin Turner,Jason Turner}$Benjamin Bell|David Black|Robert Reed|Larry Roberts|Brian Sanchez|Jeffrey Bailey|Gary Campbell|Jonathan Turner|Charles Phillips|Brandon Scott
James Turner$Skullfen Family$Mark Cooper                                      $4{David Morris,Daniel Roberts,Kenneth Evans,Stephen Rogers,Timothy Howard,Donald Morris,Jason Sanchez,Charles Phillips,Jonathan Carter,Jeffrey Baker,David Scott,Paul Rogers,Scott Adams,Kevin Perez,Andrew Harris,Scott Cook,Nicholas Lopez}$Mark Cooper|Robert Rogers|William Adams|Michael Campbell|Michael Miller|Nicholas Turner|Mark Murphy|Gary Harris|Stephen White|Daniel Bell|Paul Walker|Edward Edwards|David Black|Stephen Hill|Jason Phillips|James Cook|Robert Reed|Brian Morris
Eric Miller$Grimscar Family$Justin Turner                                    $5{Ronald Collins,Daniel Green,Jacob Morris,Brian Sanchez,Matthew Carter,Eric Perez,Ryan Green,Michael Sanchez,Joshua Bailey,Larry Roberts,Thomas Roberts}$Brandon White|Stephen Rogers|William Morris|Jason Phillips|James Cook|Joseph Cooper
Gary Murphy$Ruinspire Family II$Jason Sanchez                                    $0{Thomas Rivera,Daniel Miller,James Walker}$David Black|Ronald Roberts|Andrew Harris|Daniel Black|Mark Carter|Scott Adams|Scott Cook|Ronald Black
Jason Sanchez$Darkshade Family$Stephen Hill                                     $8{Paul Walker,Jason Edwards,Benjamin Bell,Kevin Perez,Larry Roberts,Nicholas Turner,Eric Parker,Joshua Bailey,Benjamin Carter,Stephen Howard,James Turner,Jonathan Turner,Ronald Collins,Justin Young,Michael Miller,Edward Edwards,Andrew Harris,Larry Stewart}$Scott Cook|Nicholas Lopez|Gary Harris|Richard Baker|Jason Wright|Kenneth Evans
Stephen White$Stormfall Family$Brian Morris                                     $6{Nicholas Lopez,Kenneth Lopez,Stephen Rogers,Justin Turner,Michael Sanchez,Ryan Reed,William Morris,Donald Morris,Jeffrey Roberts,Eric Perez,Mark Cooper,David Morris,James Turner,Larry Stewart}$Justin Young|Kevin Cooper|Jason Phillips|Brandon Scott|Donald Baker|Paul Lopez|Nicholas Turner|Thomas Rivera
Joseph Cooper$Deadspire Family II$Eric Perez                                       $3{Stephen Rogers,Paul Lopez,Steven Adams,Gary Murphy,Robert Reed,William Roberts,Eric Parker,Thomas Rivera,Larry Stewart,Daniel Adams,William Adams,Kevin Perez,Scott Walker,Jonathan Turner,James Walker,Daniel Miller}$Donald Morris|Paul Rogers|Gary Harris|Edward Edwards|Daniel Black|Edward Green|George Black|Joshua Scott|James Turner|Ronald Roberts|Gary Campbell|Jeffrey Roberts|Kenneth Lopez|Brian Adams
Larry Roberts$Wraithmoor Family II$James Turner                                     $8{Timothy Howard,Daniel Green,Kenneth Evans,Eric Perez,Eric Miller}$Ryan Reed|Brandon Nelson|Nicholas Morris|Matthew Carter|Jeffrey Bailey|Jacob Morris
Donald Baker$Ruinwick Family$Scott Cook                                       $5{Ryan Reed,Daniel Green,Michael Sanchez,Jason Wright,Nicholas Morris,Charles Phillips,David Black,Robert Reed,Jason Edwards,William Adams,Daniel Miller,Jonathan Carter,Thomas Roberts,Paul Rogers,Daniel Black,Joseph Reed,Ronald Roberts,Kenneth Lopez,Joshua Scott}$Stephen Rogers|Eric Miller|Kevin Perez|Brian Perez|Joseph Cooper|Paul Lopez|Eric Perez|Brian Morris|Stephen Howard|Kevin Cooper|Jason Turner|Timothy Morgan|James Turner|Steven Roberts|Michael Miller|Justin Turner|Richard Baker|Benjamin Bell
Timothy Morgan$Stormspire Family$Daniel Miller                                    $5{Eric Perez,Thomas Roberts,Kenneth Evans,Ryan Green,James Walker,Stephen Rogers,Stephen Hill,Brian Perez,Jeffrey Bailey,Steven Adams,Stephen Howard,Nicholas Lopez}$Robert Rogers|George Black|Larry Roberts|Donald Baker|Benjamin Carter|Joseph Cooper|Michael Sanchez|Jason Edwards|Daniel Bell|William Morris|Scott Cook|Daniel Black|Jonathan Turner|Ryan Reed|Brian Morris|Timothy Hill|Jason Phillips
David Black$Hollowmark Family$Mark Carter                                      $6{Benjamin Bell,Stephen White,Nicholas Morris,Joshua White,Jonathan Carter,Paul Rogers,Jason Turner,Daniel Green,Steven Adams,Ronald Roberts,Thomas Roberts,William Morris,Stephen Hill,Gary Harris}$Nicholas Turner|Brian Perez|Scott Cook|Michael Howard|Daniel Bell|Jason Edwards|Jeffrey Baker|James Cook|Charles Phillips|James Turner|Ryan Green|Michael Sanchez|Joseph Cooper|David Morris|Daniel Miller|Larry Roberts|Michael Cooper
Daniel Green$Rotshade Family$Eric Perez                                       $3{Paul Rogers,Timothy Howard}$Robert Rogers|Brandon Scott|Kevin Cooper|William Adams|Brian Adams|Scott Cook
Joseph Reed$Bloodfall Family$Jonathan Carter                                  $6{Matthew Carter,Brian Adams,Brandon Scott,Larry Roberts,Robert Reed,Paul Lopez}$David Adams|Thomas Roberts|Eric Perez|Eric Miller|Stephen Hill|Jason Wright|Kevin Perez|Nicholas Morris|Daniel Green|Michael Sanchez|Jason Phillips|David Scott|Brian Perez|Joshua White|Ronald Roberts|Brandon Nelson|Joshua Scott|Scott Adams
Jeffrey Baker$Ironwick Family$Anthony Young                                    $6{Kenneth Lopez,Michael Miller,Ryan Green,Stephen Hill}$Kevin Cooper|Larry Stewart|Paul Rogers|Joseph Cooper|Jonathan Carter|Anthony Young|Benjamin Carter|David Black
Scott Cook$Grimwald Family$William Adams                                    $8{Brandon Nelson,Brian Sanchez,Joshua Scott,David Black,George Black,Benjamin Bell,Stephen White,Ronald Collins,James Cook,Eric Parker,Joseph Perez,Kenneth Evans,Edward Edwards,Andrew Harris,Joshua Bailey,Jonathan Turner,Timothy Hill,Anthony Young,Gary Harris}$Steven Adams|Kenneth Lopez|Larry Stewart|Edward Bailey|Mark Murphy|Jason Phillips|Jacob Morris|Daniel Bell|William Morris|William Roberts|Robert Reed|Michael Howard|Nicholas Morris|Benjamin Carter|Scott Walker|Steven Roberts|Timothy Morgan|Jonathan Carter
Richard Baker$Ashenrow Family$Eric Parker                                      $6{Ronald Black,Eric Perez,Brandon Scott,Nicholas Turner,Anthony Young,Brandon Nelson,Nicholas Lopez,Daniel Green,Kevin Cooper,Justin Young,Stephen Rogers,Scott Adams}$Joseph Cooper|Brandon White|Brian Sanchez|Joseph Reed|Scott Walker|Mark Cooper|Matthew Carter|Andrew Harris|Steven Adams|Thomas Morris|Kenneth Evans|Paul Lopez|Michael Howard
Kenneth Evans$Bloodwick Family$Mark Carter                                      $8{Paul Rogers,Brian Sanchez,Edward Edwards,Charles Phillips,Daniel Black,George Black,Jason Wright,Kenneth Lopez,Steven Roberts,Jacob Morris,Nicholas Turner,Eric Miller,Eric Perez,Stephen White,Brian Perez,Joshua Scott,Benjamin Carter}$Ryan Green|Scott Adams
Daniel Bell$Grimfall Family$William Adams                                    $4{Jeffrey Roberts,Joshua Scott,Brandon Scott,Paul Lopez,Jeffrey Baker,Stephen Howard,Paul Walker,Steven Adams,Paul Rogers,Joseph Cooper,Gary Harris,David Morris,Edward Green,George Black,James Cook,Thomas Morris}$Jason Edwards|Ronald Collins|Michael Cooper|Kenneth Lopez|David Adams|Timothy Hill|Ronald Roberts|William Adams
Benjamin Bell$Ruinfall Family II$Daniel Black                                     $5{Thomas Roberts,Robert Reed,William Morris,Edward Edwards,Jonathan Carter,Brandon White,James Walker,Michael Campbell,Ryan Reed,Daniel Bell,Edward Bailey,Brandon Nelson}$Timothy Hill|Andrew Harris|Gary Campbell|Robert Rogers
Mark Murphy$Blackmoor Family$Ronald Roberts                                   $6{Steven Adams,Brian Sanchez,Brandon Nelson}$Scott Adams|Edward Bailey|Nicholas Lopez|Joshua Bailey
David Adams$Skullfen Family$Michael Sanchez                                  $3{Nicholas Turner,Eric Parker,William Roberts,Jeffrey Baker,Michael Miller,Edward Green,Kenneth Evans,Scott Walker,Gary Campbell,Stephen Hill,Gary Harris,Jeffrey Bailey,Donald Morris,Thomas Roberts}$Ronald Black|David Scott|Jason Phillips|Brandon Nelson|Jason Edwards|Edward Hill|Brian Perez|Mark Cooper|Joshua Scott|Timothy Howard|Mark Murphy|Stephen Howard|Joshua White|Benjamin Carter|Larry Roberts|Kevin Perez|Ronald Mitchell|Scott Adams
Ryan Green$Stormshade Family$Larry Stewart                                    $2{Stephen White,Michael Cooper,Brian Sanchez,Michael Sanchez,Ronald Collins,Joseph Cooper,Daniel Green,Thomas Roberts,Nicholas Turner}$Paul Walker|Eric Perez|Justin Young|Stephen Rogers|Michael Howard|Steven Adams|James Walker|William Adams|Daniel Bell|Kenneth Evans|Timothy Hill|Jason Sanchez|Jeffrey Bailey|Gary Harris|James Cook|Joshua Bailey|Jason Turner|Eric Miller
Joshua Bailey$Wraithfall Family II$Jeffrey Baker                                    $5{Ronald Black,William Adams,Robert Rogers,Eric Parker,Mark Murphy,Michael Howard,James Turner,James Walker,Richard Baker,Daniel Black,David Morris,Donald Morris,Paul Rogers,James Cook,Scott Cook,Daniel Bell,Edward Hill,Jason Sanchez}$Jason Wright|Justin Young|Brandon Nelson|Mark Cooper|Joseph Reed|Daniel Miller|Brian Sanchez|Matthew Carter|William Roberts|Stephen White|Jacob Morris|Paul Walker|Timothy Howard|Jason Phillips|Jeffrey Bailey|David Black|Nicholas Lopez|Jason Turner
Ronald Black$Cindermoor Family$Justin Turner                                    $7{Gary Murphy,James Cook,Daniel Miller,Thomas Morris,William Morris,Brandon Nelson,Kevin Perez,Ryan Green,Jeffrey Roberts,David Black,Jason Wright,Stephen Hill,Edward Edwards,Jonathan Carter,Jason Phillips,Thomas Rivera,William Adams,Robert Rogers,Michael Sanchez}$Jacob Morris|Jason Turner|Larry Roberts|Joseph Perez|Ronald Collins|Donald Morris|Brandon Scott|Ronald Roberts|Jason Sanchez|Anthony Young|William Roberts|Charles Phillips|Timothy Hill|Joseph Reed|Joseph Cooper|Brian Morris|Timothy Morgan|Nicholas Turner
Benjamin Carter$Hollowwick Family$Ronald Mitchell                                  $8{James Walker,Michael Campbell,Joseph Cooper,Steven Roberts,Ronald Stewart}$Jeffrey Roberts|James Cook|Edward Green|William Roberts|Edward Hill|Gary Harris|Jeffrey Baker|Jeffrey Bailey|Jonathan Carter
Thomas Morris$Bloodmere Family$Ryan Reed                                        $2{Donald Baker,Steven Roberts,Brandon White,David Scott,Matthew Carter,Nicholas Turner,Brian Adams,Ryan Green,Stephen Hill,Paul Lopez}$Brandon Scott|Paul Rogers
Brandon Scott$Ruinspire Family II$Justin Young                                     $6{Mark Cooper,Edward Edwards,Stephen Rogers,David Scott,Ronald Roberts,Daniel Roberts,James Walker,Kenneth Lopez,Paul Lopez,Joseph Cooper}$Michael Howard|Brian Sanchez|Matthew Carter|Jacob Morris|Jeffrey Roberts|Stephen Howard|Brian Morris|William Morris|Scott Cook|Mark Murphy|Jason Wright|Joseph Reed|Jonathan Turner|Gary Harris|Timothy Morgan|Robert Rogers|Paul Walker|Richard Baker
Jeffrey Roberts$Rotfall Family$Daniel Black                                     $1{Ryan Reed,Thomas Rivera,Nicholas Turner,Jason Wright,Edward Bailey,Timothy Hill,Donald Baker,Scott Walker,James Walker,Ronald Roberts,David Morris,Michael Miller,George Black,Benjamin Carter,Gary Campbell,Steven Adams}$Brian Adams|Mark Carter
Daniel Adams$Bloodmoor Family$Stephen Howard                                   $3{Paul Lopez,Larry Stewart,Daniel Black,Benjamin Carter,Joseph Cooper,Jason Phillips,Donald Morris,Jason Turner,Ryan Reed,Edward Bailey,Charles Phillips,Scott Cook,William Roberts,Jonathan Turner,Paul Walker}$Mark Murphy|Nicholas Lopez|Stephen Rogers|Daniel Roberts|Gary Harris|Jason Edwards|Jeffrey Baker|Brian Morris|Eric Perez|Ronald Black|William Adams|Jonathan Carter|Timothy Howard|Joshua Scott|David Morris|Joshua White|David Black|Paul Rogers
James Walker$Wraithfen Family$Ryan Reed                                        $0{Brian Perez,Stephen Hill,Jason Edwards,Kevin Perez,Daniel Adams,Nicholas Lopez,William Roberts,Joseph Perez,Brian Morris,Charles Phillips,Larry Roberts,Robert Reed}$Michael Miller|George Black|Thomas Rivera|Jeffrey Baker|Jason Turner|Benjamin Carter|Nicholas Turner|Ronald Black|William Adams|Ronald Roberts|James Cook|Larry Stewart|Edward Hill|Jonathan Turner|Joshua Scott|Justin Young|Donald Morris
Timothy Howard$Stormshade Family$Thomas Roberts                                   $7{Kevin Perez,Stephen Howard,James Cook,Benjamin Carter,Timothy Hill,Donald Morris,Daniel Black}$Thomas Rivera|Joshua White|Jeffrey Roberts|Steven Roberts|David Adams|Kevin Cooper|Daniel Bell|George Black
Jason Turner$Duskborne Family$Scott Cook                                       $2{Matthew Carter,Michael Howard,Daniel Green,Jeffrey Roberts,Paul Lopez,Kevin Perez,Kenneth Lopez,Benjamin Bell,Gary Murphy,James Turner,Joshua Scott}$James Cook|Andrew Harris|Daniel Roberts|Brandon Nelson|Brian Adams|Joshua Bailey|Kevin Cooper|Paul Rogers|Ronald Black|Jeffrey Baker
Anthony Young$Coldspire Family$Joshua White                                     $5{Thomas Roberts,Jeffrey Bailey,Ryan Green,Paul Walker}$Gary Harris|Justin Turner|Robert Rogers|Stephen Rogers|Thomas Morris|Joshua White|Michael Miller|Brandon Nelson|Joshua Bailey|Daniel Roberts|Joshua Scott|Mark Murphy|Joseph Cooper|William Morris|William Roberts|Gary Campbell|Paul Rogers|Michael Campbell|Larry Stewart
Larry Stewart$Blackfen Family$Gary Harris                                      $3{David Scott,Jeffrey Baker,Jason Edwards,Daniel Adams,Scott Cook}$Nicholas Lopez|Kevin Cooper|Thomas Rivera|Joshua Scott|Gary Harris|Daniel Miller|Paul Walker|Matthew Carter|Steven Roberts|Jason Phillips|Jonathan Turner|Benjamin Bell
Nicholas Morris$Blackmoor Family$Scott Cook                                       $0{Scott Walker,Michael Campbell,Jonathan Turner,Benjamin Carter,Eric Perez,Justin Turner,Brandon Scott,Stephen White}$Donald Morris|William Roberts|Charles Phillips|Edward Edwards
Brandon Nelson$Harrowfen Family$Edward Hill                                      $4{Paul Walker,Ronald Roberts,Nicholas Turner,Jeffrey Baker,Timothy Howard,Robert Rogers,Ronald Collins,Thomas Morris}$Stephen Rogers|Joseph Perez|Daniel Bell
